"Issue Type","Epic Name","Epic Link","Summary","Description","Priority","Story Points","Labels","Components","Sprint"
"Epic","EP16","","SECTION 16 — Notifications","# SECTION 16 — Notifications

Notification table + email send via Nodemailer (sync MVP; queue ở C6).

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-16, notifications, email`","High","","section-16;notifications;email","backend","Sprint 8"
"Epic","EP17","","SECTION 17 — PostgreSQL Foundations","# SECTION 17 — PostgreSQL Foundations

Tables/relationships; constraints (CHECK, UNIQUE, EXCLUDE); keys + indexes basics. ERD 19 bảng walkthrough.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-17, postgresql, schema`","High","","section-17;postgresql;schema","database","Sprint 9"
"Epic","EP18","","SECTION 18 — SQL Mastery","# SECTION 18 — SQL Mastery

SELECT, JOINs, GROUP BY, CTE, Window functions — exercises trên Tutor365 schema.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-18, sql`","High","","section-18;sql","database","Sprint 9"
"Epic","EP19","","SECTION 19 — Prisma + Migrations","# SECTION 19 — Prisma + Migrations

Prisma schema-from-ERD; migrate dev workflow; seeders; migrate in-memory repo → Prisma (giữ Repository interface).

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-19, prisma, migrations`","High","","section-19;prisma;migrations","database","Sprint 10"
"Epic","EP20","","SECTION 20 — Indexing + Optimization","# SECTION 20 — Indexing + Optimization

Composite, partial, expression indexes; EXPLAIN ANALYZE workflow.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-20, indexing, performance`","High","","section-20;indexing;performance","database","Sprint 10"
"Epic","EP21","","SECTION 21 — Transactions + Concurrency","# SECTION 21 — Transactions + Concurrency

Isolation levels (RC vs SERIALIZABLE); EXCLUDE constraint chống double-booking.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-21, transactions, concurrency`","High","","section-21;transactions;concurrency","database","Sprint 10"
"Epic","EP22","","SECTION 22 — Final Review","# SECTION 22 — Final Review

Auto-gen API.md from Swagger; ERD recap; pnpm verify; E2E demo.

## 📦 Scope
Epic này gom tất cả Story (video) thuộc section. Mỗi Story là 1 video × 1 implementation task cho developer.

## ✅ Definition of Done (Epic-level)
- [ ] Tất cả Story child closed + PR merged
- [ ] Section deliverable đạt yêu cầu trong [planK23.md](../planK23.md) §10
- [ ] `pnpm verify` pass

## 📚 Reference
- [planK23.md](../planK23.md) — technical spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — overview tiếng Việt
- [task.md](../task.md) — phase checklist

## 🏷 Labels
`section-22, final, review`","High","","section-22;final;review","backend","Sprint 10"
"Story","","EP01","V01 — Module map + architecture doc cho Tutor365 backend","# V01 — Module map + architecture doc cho Tutor365 backend

**Epic:** EP01  |  **Points:** 2  |  **Priority:** High

## 🎯 What to Build
Tạo `docs/course2-3/architecture.md` mô tả 11 module domain của Tutor365 backend + Mermaid diagram + responsibility từng module.

## 🛠 Implementation Tasks
- [ ] Tạo file `docs/course2-3/architecture.md`
- [ ] Liệt kê 11 module: `auth`, `users`, `tutor-profiles`, `student-profiles`, `subjects`, `levels`, `qualifications`, `courses`, `sessions`, `payments`, `payouts`
- [ ] Vẽ Mermaid diagram dạng `graph TD` mô tả dependency giữa các module
- [ ] Mỗi module ghi 1 câu responsibility
- [ ] Cross-link đến `planK23.md` §5 (ERD) + §9 (Section outline)

## 📁 Files to Create / Modify
- `docs/course2-3/architecture.md`

## 🔌 Libs / Dependencies
**npm packages (add if missing):**
(không thêm dependency mới)

**Prior videos (must be merged first):** (không có)

## ⚠️ Gotchas / Implementation Notes
Doc-only ticket. Không cần code, không cần test.

## 🧪 Test Hints (cho dev viết unit test — KHÔNG phải QC test plan)
N/A — doc.

## ✅ Definition of Done
- [ ] Implementation complete (files listed above)
- [ ] Unit tests cover happy path + 2+ edge cases (Vitest)
- [ ] Endpoint hiển thị ở `/api/docs` Swagger (nếu applicable)
- [ ] `pnpm typecheck` exit 0
- [ ] `pnpm test` exit 0
- [ ] Self-review checklist done (no console.log, no TODO, no commented code)
- [ ] PR opened + reviewed

## 📚 Reference
- [planK23.md](../planK23.md) — full spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — section overview
- [task.md](../task.md) — phase checklist

---

@claude implement this developer ticket. Read **planK23.md** referenced section first, then execute **Implementation Tasks** checklist in order. Create/modify files in **Files to Create / Modify**, add libs from **Libs / Dependencies** if missing, follow **API Contract / Data Model** strictly, watch out for **Gotchas**, write unit tests guided by **Test Hints**, then run `pnpm verify`. Report any blocker or ambiguity before guessing.","High","2","nestjs;architecture;docs","backend","Sprint 1"
"Story","","EP01","V02 — Bootstrap NestJS app (CORS, helmet, versioning `/api/v1`, graceful shutdown)","# V02 — Bootstrap NestJS app (CORS, helmet, versioning `/api/v1`, graceful shutdown)

**Epic:** EP01  |  **Points:** 3  |  **Priority:** High

## 🎯 What to Build
Khởi tạo NestJS production-ready bootstrap với CORS env-whitelist, helmet, URI versioning, env validation Zod, graceful shutdown.

## 🛠 Implementation Tasks
- [ ] Tạo `apps/api/src/main.ts` với `NestFactory.create(AppModule, { bufferLogs: true })`
- [ ] Apply `helmet()`, `enableCors({ origin: env.CORS_ORIGINS.split(',') })`
- [ ] `app.setGlobalPrefix('api')` + `app.enableVersioning({ type: VersioningType.URI, defaultVersion: '1' })`
- [ ] `app.enableShutdownHooks()` + catch SIGTERM/SIGINT log gracefully
- [ ] Tạo `apps/api/src/common/config/app.config.ts` validate env qua Zod schema, throw nếu thiếu key
- [ ] Update `apps/api/src/app.module.ts` register `HealthModule`

## 📐 API Contract / Data Model
| Env | Required | Default |
|---|---|---|
| `PORT` | yes | 3000 |
| `NODE_ENV` | yes | development |
| `CORS_ORIGINS` | yes | `*` (dev only) |

## 📁 Files to Create / Modify
- `apps/api/src/main.ts`
- `apps/api/src/app.module.ts`
- `apps/api/src/common/config/app.config.ts`
- `apps/api/src/modules/health/health.module.ts`
- `apps/api/src/modules/health/health.controller.ts`

## 🔌 Libs / Dependencies
**npm packages (add if missing):**
- `@nestjs/core`
- `@nestjs/common`
- `helmet`
- `nestjs-pino`
- `zod`

**Prior videos (must be merged first):** V01

## ⚠️ Gotchas / Implementation Notes
- `app.enableCors()` PHẢI gọi trước route đăng ký để OPTIONS preflight work
- `bufferLogs: true` cần thiết để `nestjs-pino` capture early logs
- SIGTERM handler không được `process.exit()` thủ công, để `enableShutdownHooks` lo

## 🧪 Test Hints (cho dev viết unit test — KHÔNG phải QC test plan)
- Bootstrap không throw → server listen `PORT`
- `GET /api/v1/health` trả `{ ok: true, data: { status: 'ok' } }`
- Missing env `CORS_ORIGINS` → app throw at startup
- SIGTERM → exit code 0, log `'gracefully shutdown'`

## ✅ Definition of Done
- [ ] Implementation complete (files listed above)
- [ ] Unit tests cover happy path + 2+ edge cases (Vitest)
- [ ] Endpoint hiển thị ở `/api/docs` Swagger (nếu applicable)
- [ ] `pnpm typecheck` exit 0
- [ ] `pnpm test` exit 0
- [ ] Self-review checklist done (no console.log, no TODO, no commented code)
- [ ] PR opened + reviewed

## 📚 Reference
- [planK23.md](../planK23.md) — full spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — section overview
- [task.md](../task.md) — phase checklist

---

@claude implement this developer ticket. Read **planK23.md** referenced section first, then execute **Implementation Tasks** checklist in order. Create/modify files in **Files to Create / Modify**, add libs from **Libs / Dependencies** if missing, follow **API Contract / Data Model** strictly, watch out for **Gotchas**, write unit tests guided by **Test Hints**, then run `pnpm verify`. Report any blocker or ambiguity before guessing.","High","3","nestjs;bootstrap","backend","Sprint 1"
"Story","","EP01","V03 — Response envelope interceptor + global exception filter","# V03 — Response envelope interceptor + global exception filter

**Epic:** EP01  |  **Points:** 3  |  **Priority:** Medium

## 🎯 What to Build
Implement `ResponseEnvelopeInterceptor` wrap mọi response success thành `{ ok, data, requestId }` + `AllExceptionsFilter` map exception → contract error chuẩn.

## 🛠 Implementation Tasks
- [ ] Tạo `ResponseEnvelopeInterceptor implements NestInterceptor`
- [ ] Map mọi `next.handle()` output → `{ ok: true, data, requestId: req.id }`
- [ ] Skip envelope khi route có `@SkipEnvelope()` metadata HOẶC path start với `/api/v1/health`
- [ ] Tạo decorator `@SkipEnvelope()` dùng `SetMetadata`
- [ ] Tạo `AllExceptionsFilter implements ExceptionFilter @Catch()` map:
- [ ]   - `HttpException` → `{ ok: false, error: { code, message }, requestId }`
- [ ]   - `ZodError` → `{ ok: false, error: { code: 'VALIDATION_ERROR', details } }`
- [ ]   - Unknown → log + 500 `{ code: 'INTERNAL' }`
- [ ] Register cả 2 global trong `main.ts`: `app.useGlobalInterceptors`, `app.useGlobalFilters`

## 📐 API Contract / Data Model
| Outcome | HTTP | Body |
|---|---|---|
| Success | 2xx | `{ ok: true, data, requestId }` |
| Validation fail | 400 | `{ ok: false, error: { code: 'VALIDATION_ERROR', details } }` |
| Domain fail | 4xx | `{ ok: false, error: { code, message } }` |
| Unhandled | 500 | `{ ok: false, error: { code: 'INTERNAL' } }` |

## 📁 Files to Create / Modify
- `apps/api/src/common/interceptors/response-envelope.interceptor.ts`
- `apps/api/src/common/decorators/skip-envelope.decorator.ts`
- `apps/api/src/common/filters/all-exceptions.filter.ts`

## 🔌 Libs / Dependencies
**npm packages (add if missing):**
- `@nestjs/common`
- `@nestjs/core`
- `rxjs`

**Prior videos (must be merged first):** V02

## ⚠️ Gotchas / Implementation Notes
- Filter PHẢI register sau interceptor để catch được mọi error
- `requestId` lấy từ `req.id` (gen bởi `nestjs-pino` middleware)
- KHÔNG leak stack trace ra response ở production

## 🧪 Test Hints (cho dev viết unit test — KHÔNG phải QC test plan)
- Success route trả wrap đúng shape
- Route throw `BadRequestException('msg')` → 400 + envelope error
- Route có `@SkipEnvelope()` → raw body không bị wrap
- `/api/v1/health` → raw, không wrap

## ✅ Definition of Done
- [ ] Implementation complete (files listed above)
- [ ] Unit tests cover happy path + 2+ edge cases (Vitest)
- [ ] Endpoint hiển thị ở `/api/docs` Swagger (nếu applicable)
- [ ] `pnpm typecheck` exit 0
- [ ] `pnpm test` exit 0
- [ ] Self-review checklist done (no console.log, no TODO, no commented code)
- [ ] PR opened + reviewed

## 📚 Reference
- [planK23.md](../planK23.md) — full spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — section overview
- [task.md](../task.md) — phase checklist

---

@claude implement this developer ticket. Read **planK23.md** referenced section first, then execute **Implementation Tasks** checklist in order. Create/modify files in **Files to Create / Modify**, add libs from **Libs / Dependencies** if missing, follow **API Contract / Data Model** strictly, watch out for **Gotchas**, write unit tests guided by **Test Hints**, then run `pnpm verify`. Report any blocker or ambiguity before guessing.","Medium","3","nestjs;interceptor;filter","backend","Sprint 1"
"Story","","EP01","V04 — Zod validation pipeline + `@ZodBody/@ZodQuery/@ZodParam` decorators","# V04 — Zod validation pipeline + `@ZodBody/@ZodQuery/@ZodParam` decorators

**Epic:** EP01  |  **Points:** 3  |  **Priority:** High

## 🎯 What to Build
Build `ZodValidationPipe` + 3 decorator wrapper để validate request body/query/param với Zod schema (single source of truth share với FE).

## 🛠 Implementation Tasks
- [ ] Tạo `ZodValidationPipe implements PipeTransform`
- [ ]   - Constructor nhận `schema: ZodSchema`
- [ ]   - `transform(value)` call `schema.safeParse(value)`, nếu fail throw `BadRequestException` với `cause = ZodError`
- [ ] Tạo decorator `ZodBody = (schema) => Body(new ZodValidationPipe(schema))`
- [ ] Tương tự `ZodQuery`, `ZodParam`
- [ ] Filter ở V03 catch `ZodError` và format `details: { field: [errors] }`

## 📐 API Contract / Data Model
**Sample usage:**
```ts
@Post()
create(@ZodBody(CreateCourseDto) body: CreateCourseInput) {}
```

## 📁 Files to Create / Modify
- `apps/api/src/common/pipes/zod-validation.pipe.ts`
- `apps/api/src/common/decorators/zod-body.decorator.ts`
- `apps/api/src/common/decorators/zod-query.decorator.ts`
- `apps/api/src/common/decorators/zod-param.decorator.ts`

## 🔌 Libs / Dependencies
**npm packages (add if missing):**
- `zod`
- `@nestjs/common`

**Prior videos (must be merged first):** V03

## ⚠️ Gotchas / Implementation Notes
- Query string values đều là `string` → schema phải `z.coerce.number()` cho int param
- KHÔNG wrap Zod error message trong NestJS default, dùng filter ở V03 để format consistent

## 🧪 Test Hints (cho dev viết unit test — KHÔNG phải QC test plan)
- Valid body → pass through không thay đổi
- Missing required field → 400 với `details: { field: ['Required'] }`
- Wrong type → 400 với details rõ
- Custom refine (vd: endDate ≥ startDate) → 400 message

## ✅ Definition of Done
- [ ] Implementation complete (files listed above)
- [ ] Unit tests cover happy path + 2+ edge cases (Vitest)
- [ ] Endpoint hiển thị ở `/api/docs` Swagger (nếu applicable)
- [ ] `pnpm typecheck` exit 0
- [ ] `pnpm test` exit 0
- [ ] Self-review checklist done (no console.log, no TODO, no commented code)
- [ ] PR opened + reviewed

## 📚 Reference
- [planK23.md](../planK23.md) — full spec
- [khoa-hoc-2-3-vi.md](../khoa-hoc-2-3-vi.md) — section overview
- [task.md](../task.md) — phase checklist

---

@claude implement this developer ticket. Read **planK23.md** referenced section first, then execute **Implementation Tasks** checklist in order. Create/modify files in **Files to Create / Modify**, add libs from **Libs / Dependencies** if missing, follow **API Contract / Data Model** strictly, watch out for **Gotchas**, write unit tests guided by **Test Hints**, then run `pnpm verify`. Report any blocker or ambiguity before guessing.","High","3","nestjs;zod;validation","backend","Sprint 1"
